
2020-11-18 01:26:13,254 : INFO : files read into PathLineSentences:LARGEST_WEAK_COMPONENT.txt
2020-11-18 01:26:13,254 : WARNING : consider setting layer size to a multiple of 4 for greater performance
2020-11-18 01:26:13,254 : INFO : collecting all words and their counts
2020-11-18 01:26:13,254 : INFO : reading file LARGEST_WEAK_COMPONENT.txt
2020-11-18 01:26:13,269 : INFO : PROGRESS: at sentence #0, processed 0 words, keeping 0 word types
2020-11-18 01:26:26,199 : INFO : PROGRESS: at sentence #10000, processed 39028698 words, keeping 418805 word types
2020-11-18 01:26:38,000 : INFO : collected 660358 word types from a corpus of 73713636 raw words and 18847 sentences
2020-11-18 01:26:38,000 : INFO : Loading a fresh vocabulary
2020-11-18 01:26:38,642 : INFO : effective_min_count=5 retains 121890 unique words (18% of original 660358, drops 538468)
2020-11-18 01:26:38,642 : INFO : effective_min_count=5 leaves 72923093 word corpus (98% of original 73713636, drops 790543)
2020-11-18 01:26:39,051 : INFO : deleting the raw counts dictionary of 660358 items
2020-11-18 01:26:39,067 : INFO : sample=0.001 downsamples 37 most-common words
2020-11-18 01:26:39,067 : INFO : downsampling leaves estimated 53674829 word corpus (73.6% of prior 72923093)
2020-11-18 01:26:39,468 : INFO : estimated required memory for 121890 words and 50 dimensions: 109701000 bytes
2020-11-18 01:26:39,468 : INFO : resetting layer weights
2020-11-18 01:27:08,798 : INFO : reading file LARGEST_WEAK_COMPONENT.txt
2020-11-18 01:27:15,714 : INFO : training model with 4 workers on 121890 vocabulary and 50 features, using sg=0 hs=0 sample=0.001 negative=10 window=5
2020-11-18 01:27:15,714 : INFO : reading file LARGEST_WEAK_COMPONENT.txt
2020-11-18 01:28:58,685 : INFO : EPOCH 2 - PROGRESS: at 12.10% words, 584371 words/s, in_qsize 7, out_qsize 0
2020-11-18 01:28:59,710 : INFO : EPOCH 2 - PROGRESS: at 13.20% words, 583393 words/s, in_qsize 7, out_qsize 0
2020-11-18 01:29:00,718 : INFO : EPOCH 2 - PROGRESS: at 14.29% words, 583555 words/s, in_qsize 7, out_qsize 0
2020-11-18 01:29:01,735 : INFO : EPOCH 2 - PROGRESS: at 15.40% words, 584002 words/s, in_qsize 8, out_qsize 0
2020-11-18 01:29:02,736 : INFO : EPOCH 2 - PROGRESS: at 16.52% words, 584886 words/s, in_qsize 7, out_qsize 1
2020-11-18 01:29:03,737 : INFO : EPOCH 2 - PROGRESS: at 17.61% words, 584597 words/s, in_qsize 7, out_qsize 0
2020-11-18 01:29:04,749 : INFO : EPOCH 2 - PROGRESS: at 18.71% words, 584857 words/s, in_qsize 7, out_qsize 0
2020-11-18 01:29:05,739 : INFO : EPOCH 2 - PROGRESS: at 19.80% words, 585122 words/s, in_qsize 7, out_qsize 0
2020-11-18 01:29:06,758 : INFO : EPOCH 2 - PROGRESS: at 20.89% words, 584710 words/s, in_qsize 7, out_qsize 0
2020-11-18 01:29:07,774 : INFO : EPOCH 2 - PROGRESS: at 22.00% words, 584953 words/s, in_qsize 8, out_qsize 0
2020-11-18 01:29:08,780 : INFO : EPOCH 2 - PROGRESS: at 23.09% words, 584670 words/s, in_qsize 7, out_qsize 0
2020-11-18 01:29:09,791 : INFO : EPOCH 2 - PROGRESS: at 24.20% words, 584633 words/s, in_qsize 7, out_qsize 0
2020-11-18 01:29:10,792 : INFO : EPOCH 2 - PROGRESS: at 25.31% words, 585129 words/s, in_qsize 7, out_qsize 0
2020-11-18 01:29:11,816 : INFO : EPOCH 2 - PROGRESS: at 26.42% words, 585068 words/s, in_qsize 7, out_qsize 0
2020-11-18 01:29:12,813 : INFO : EPOCH 2 - PROGRESS: at 27.51% words, 585116 words/s, in_qsize 7, out_qsize 0
2020-11-18 01:29:13,816 : INFO : EPOCH 2 - PROGRESS: at 28.60% words, 584968 words/s, in_qsize 7, out_qsize 0
2020-11-18 01:29:14,821 : INFO : EPOCH 2 - PROGRESS: at 29.71% words, 585432 words/s, in_qsize 7, out_qsize 0
2020-11-18 01:29:15,825 : INFO : EPOCH 2 - PROGRESS: at 30.82% words, 585639 words/s, in_qsize 7, out_qsize 0
2020-11-18 01:29:16,819 : INFO : EPOCH 2 - PROGRESS: at 31.91% words, 585652 words/s, in_qsize 7, out_qsize 0
2020-11-18 01:29:17,845 : INFO : EPOCH 2 - PROGRESS: at 33.02% words, 585689 words/s, in_qsize 8, out_qsize 0
2020-11-18 01:29:18,858 : INFO : EPOCH 2 - PROGRESS: at 34.08% words, 584952 words/s, in_qsize 7, out_qsize 0
2020-11-18 01:29:19,875 : INFO : EPOCH 2 - PROGRESS: at 35.18% words, 584850 words/s, in_qsize 7, out_qsize 0
2020-11-18 01:29:20,876 : INFO : EPOCH 2 - PROGRESS: at 36.29% words, 584918 words/s, in_qsize 7, out_qsize 0
